Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.629297733,0.6356507,-0.5287346,-0.1404877,-0.09511858,-0.6946461,0.7056921,4.154826,43.4311,-12.93566,992.2448
0.636907101,0.5112739,-0.5868122,-0.3238637,-0.0795098,-0.7002741,0.7088405,4.154826,43.4311,-12.93566,992.2448
0.644515514,0.4488254,-0.4687202,-0.3236739,-0.0727447,-0.7025301,0.7009405,4.154826,43.4311,-12.93566,992.2448
0.652124882,0.3245663,-0.1155318,-0.01752164,-0.07172614,-0.7078251,0.700808,4.154826,43.4311,-12.93566,992.2448
0.659733295,0.3860911,0.002171557,-0.0174859,-0.06727,-0.7117022,0.708472,4.154826,43.4311,-12.93566,992.2448
0.667342663,0.1381326,0.1197271,0.22717,-0.06780802,-0.7116364,0.7006865,4.154826,43.4311,-12.93566,992.2448
0.674951076,0.3236499,0.2960062,0.7164462,-0.07515185,-0.6997285,0.7078435,4.154826,43.4311,-12.93566,992.2448
0.682560444,0.07584745,0.23693,0.5934899,-0.07506261,-0.7060452,0.7125645,3.77825,43.06499,-13.3757,992.2413
0.690169334,-0.1717215,0.4128031,0.5317037,-0.06539136,-0.7068267,0.705649,3.77825,43.06499,-13.3757,992.2413
0.697778225,0.07591831,1.470156,0.8982386,-0.08727276,-0.7051412,0.7029468,3.77825,43.06499,-13.3757,992.2413
0.705387115,-0.4812511,0.3523241,0.7750534,-0.07167146,-0.7088528,0.7076011,3.77825,43.06499,-13.3757,992.2413
0.715528488,-0.109274,1.233213,0.9575883,-0.08434221,-0.711801,0.696436,3.77825,43.06499,-13.3757,992.2413
0.723137379,0.07637921,0.2917747,0.6506273,-0.08004349,-0.7006907,0.7010437,3.77825,43.06499,-13.3757,992.2453
0.730746746,0.01447663,0.5265781,0.8336188,-0.08145446,-0.7079187,0.6979641,3.773722,43.4338,-13.37743,992.2453
0.738355637,0.3856995,0.643455,0.6492481,-0.08588745,-0.7026436,0.6956894,3.773722,43.4338,-13.37743,992.2453
0.745964527,0.07581352,-0.06227541,0.5263359,-0.084854,-0.7012873,0.7069129,3.773722,43.4338,-13.37743,992.2453
0.753573418,0.3851674,-0.1797743,0.2810468,-0.07951513,-0.7097975,0.6949823,3.773722,43.4338,-13.37743,992.2453
0.761182785,0.5703743,-0.1207707,0.2808013,-0.07315271,-0.7064541,0.7071825,3.773722,43.4338,-13.37743,992.2436
0.768795490,0.3842283,0.05556868,0.4640836,-0.07654169,-0.7150862,0.6967818,3.773722,43.4338,-13.37743,992.2436
0.776400566,1.250351,-0.5321056,0.4025153,-0.07557999,-0.7079136,0.7052205,4.533355,43.05981,-12.93854,992.2436
0.784008980,0.5685301,-0.1202079,0.7082333,-0.07221814,-0.7078221,0.6998382,4.533355,43.05981,-12.93854,992.2436
0.791618347,1.063106,-0.4726937,0.5240768,-0.0731751,-0.711189,0.6973323,4.533355,43.05981,-12.93854,992.2436
0.799227238,1.123896,-0.3547831,0.7071876,-0.07307585,-0.7160897,0.7054952,4.533355,43.05981,-12.93854,992.2436
0.809372425,1.122407,-0.3544114,1.07347,-0.07217283,-0.715032,0.6967471,4.533355,43.05981,-12.93854,992.2418
0.816981792,1.554572,0.1159683,1.378383,-0.07410112,-0.7122152,0.7026726,4.533355,43.05981,-12.93854,992.2418
0.824590206,2.172192,0.1159698,1.438426,-0.08185667,-0.7085149,0.7096407,4.521726,43.42884,-13.38669,992.2418
0.832202911,2.108489,-0.001641719,1.192336,-0.08587368,-0.7074277,0.6911945,4.521726,43.42884,-13.38669,992.2418
0.839807987,2.168372,-0.2366077,0.5792678,-0.09414604,-0.6998783,0.6987439,4.521726,43.42884,-13.38669,992.2418
0.847417355,2.475755,-0.6475964,0.08915483,-0.09467231,-0.6917275,0.703809,4.521726,43.42884,-13.38669,992.2458
0.855025768,2.04016,-0.7057467,-0.2780997,-0.0966269,-0.6888748,0.7058398,4.521726,43.42884,-13.38669,992.2458
0.862635136,1.419348,-1.704026,-0.9508364,-0.08779616,-0.7012832,0.7025545,4.521726,43.42884,-13.38669,992.2458
0.870244026,1.665664,-1.702365,-1.133526,-0.08290242,-0.7012767,0.708358,4.521726,43.42884,-13.38669,992.2458
0.877852917,1.663998,-1.876987,-1.19355,-0.07848769,-0.7027146,0.7131577,3.782777,42.69617,-13.37396,992.2458
