Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.765313625,0.04381134,0.5148811,0.1420362,-0.1356393,-0.7300222,0.6803834,10.76185,33.26177,-3.856544,992.1937
0.772916317,0.2302637,-0.4315653,-0.2255995,-0.1352254,-0.7243131,0.688742,10.76185,33.26177,-3.856544,992.1937
0.780518055,-0.267491,0.1010002,0.08080047,-0.1351148,-0.731526,0.685173,10.76185,33.26177,-3.856544,992.192
0.790654659,0.1678143,-0.1355612,-0.04173752,-0.1306861,-0.7329128,0.6870552,10.76185,33.26177,-3.856544,992.192
0.798257351,-0.1432511,0.2785175,0.142072,-0.132251,-0.7280048,0.679459,10.76185,33.26177,-3.856544,992.192
0.805860043,0.4165405,-0.0764433,0.01946319,-0.1302829,-0.7271475,0.6910679,10.76185,33.26177,-3.856544,992.192
0.813462257,-0.01929028,0.0418925,0.3256515,-0.1302919,-0.7279838,0.6809025,10.76185,33.26177,-3.856544,992.192
0.821064949,0.540365,-0.07642925,0.2641649,-0.1297837,-0.7276338,0.6920198,10.76185,33.26177,-3.856544,992.192
0.828667164,0.4154812,0.2192743,0.3251535,-0.1307334,-0.7295702,0.6905234,10.76185,33.26177,-3.856544,992.192
0.836269379,0.2284789,0.100711,0.5085789,-0.1327318,-0.7267323,0.6925356,10.76185,33.26177,-3.856544,992.192
0.843872070,0.4148159,0.3963034,0.5694141,-0.1361149,-0.7296609,0.6890889,10.76185,33.26177,-3.856544,992.192
0.851474762,0.6009186,0.336696,0.5077363,-0.1376394,-0.7262918,0.6882152,11.15041,32.86328,-2.964365,992.192
0.859077454,0.4138589,0.3364902,0.3236609,-0.1311492,-0.7348267,0.6845917,11.15041,32.86328,-2.964365,992.192
0.866679192,0.9732819,0.4543254,0.3846127,-0.1424754,-0.7297653,0.6871742,11.15041,32.86328,-2.964365,992.192
0.874281883,0.5370243,0.1582287,0.3843465,-0.1321859,-0.729675,0.6963216,11.15041,32.86328,-2.964365,992.192
0.884418488,0.2876786,0.3356207,0.3226455,-0.1345404,-0.7359452,0.6908528,11.15041,32.86328,-2.964365,992.192
0.892021179,0.5984126,-0.1380664,0.07729537,-0.1435102,-0.7268324,0.6833894,11.15041,32.86328,-2.964365,992.192
0.899623394,-0.02406359,0.2169664,0.1384023,-0.1345357,-0.7359701,0.6927844,11.15041,32.86328,-2.964365,992.1896
0.907226086,0.2248061,-0.3744453,0.01583543,-0.1312111,-0.7305226,0.688568,11.14176,33.64241,-4.294683,992.1896
0.914828777,0.7222493,0.4534937,0.1994368,-0.1387289,-0.7204187,0.6816087,11.14176,33.64241,-4.294683,992.1896
0.922430515,-0.08705215,-0.4925605,0.138146,-0.1229375,-0.7270607,0.6958774,11.14176,33.64241,-4.294683,992.1896
0.930033207,0.3485659,-0.07860985,0.2604331,-0.1375885,-0.7309796,0.6765004,11.14176,33.64241,-4.294683,992.1896
0.937639713,0.09933184,-0.3149147,0.137732,-0.1387153,-0.7196075,0.6937056,11.14176,33.64241,-4.294683,992.1937
0.945238590,-0.3982408,-0.314618,0.1988205,-0.1390824,-0.727773,0.6881813,11.14176,33.64241,-4.294683,992.1937
0.952840805,0.1618887,-0.550979,-0.2301062,-0.1415836,-0.72443,0.687793,11.14435,33.62465,-3.40065,992.1937
0.960443020,-0.5224514,-0.9052326,-0.1684595,-0.1274652,-0.7202898,0.6893051,11.14435,33.62465,-3.40065,992.1937
0.968045235,-0.3975455,-0.5497928,-0.1682815,-0.1361191,-0.7305222,0.680855,11.14435,33.62465,-3.40065,992.1937
0.978181839,-0.45938,-0.3124818,-0.3517249,-0.1405811,-0.7263077,0.6848428,11.14435,33.62465,-3.40065,992.1937
0.985784531,-0.3343966,-1.376412,-0.4738685,-0.128515,-0.7168357,0.6826355,11.14435,33.62465,-3.40065,992.1937
0.993387222,-0.8938945,-0.6065221,-0.2895749,-0.1307973,-0.7248135,0.6969267,11.14435,33.62465,-3.40065,992.1937
1.000989914,-0.7063047,-1.019883,-0.350501,-0.1411672,-0.7200598,0.6874222,10.76336,33.61137,-2.510128,992.1937
1.008591652,-1.265569,-1.551062,-0.3500746,-0.1289095,-0.7204384,0.6984835,10.76336,33.61137,-2.510128,992.1937
1.016194343,-1.264201,-1.667883,-0.2272313,-0.1217402,-0.7119086,0.6866065,10.76336,33.61137,-2.510128,992.1937
1.023797035,-1.387717,-1.784446,-0.1044653,-0.1230394,-0.7176852,0.7193069,10.76336,33.61137,-2.510128,992.192
1.031399250,-2.318975,-2.137556,0.07932639,-0.1410923,-0.7244325,0.6887574,10.76336,33.61137,-2.510128,992.192
1.039001941,-0.8239622,-3.37706,-0.5944184,-0.1235399,-0.7189589,0.7047843,10.76336,33.61137,-2.510128,992.192
1.046603679,-2.378191,-2.900452,0.2636973,-0.1366481,-0.7272269,0.6872217,10.76336,33.61137,-2.510128,992.192
1.054206371,-0.2613861,-4.316921,-0.9615124,-0.1271817,-0.7068216,0.6964166,10.76444,33.24401,-2.962511,992.192
1.061809063,-2.87375,-4.135077,0.3867913,-0.1251179,-0.7095631,0.7243549,10.76444,33.24401,-2.962511,992.192
1.071945667,-2.744848,-5.25351,-0.2263772,-0.1428842,-0.7350593,0.6841397,10.76444,33.24401,-2.962511,992.192
1.079548359,-2.74234,-4.834572,0.01876674,-0.1351585,-0.728202,0.6900899,10.76444,33.24401,-2.962511,992.192
1.087150574,-3.548123,-4.298025,-0.3487143,-0.1498302,-0.7298021,0.6785018,10.76444,33.24401,-2.962511,992.192
1.094752788,-3.35815,-4.589533,-1.144377,-0.1394551,-0.7354671,0.6836353,10.76444,33.24401,-2.962511,992.192
1.102355480,-3.977191,-4.939926,-1.082157,-0.1419848,-0.7306478,0.6813533,11.14803,33.23952,-2.959,992.1903
1.109957695,-3.848933,-4.166715,-1.326049,-0.1418725,-0.7387534,0.6719647,11.14803,33.23952,-2.959,992.1903
1.117560386,-4.218469,-5.286062,-1.692282,-0.1425199,-0.7290877,0.6722178,11.14803,33.23952,-2.959,992.1903
1.125163078,-4.778595,-5.75934,-2.243766,-0.1223155,-0.7374752,0.6786985,11.14803,33.23952,-2.959,992.1903
1.132764816,-4.591886,-4.221187,-1.87611,-0.1247906,-0.7355961,0.6792382,11.14803,33.23952,-2.959,992.1903
1.140367508,-4.778595,-4.576146,-1.814834,-0.1041742,-0.7391483,0.6868094,11.14803,33.23952,-2.959,992.1886
1.147970199,-4.903067,-3.274631,-1.079523,-0.1158231,-0.7446963,0.6857359,11.14803,33.23952,-2.959,992.1886
1.155573368,-4.280705,-2.742193,-1.079523,-0.1231871,-0.744243,0.6765933,11.14565,33.61576,-2.953634,992.1886
1.165709495,-4.591886,-2.446394,-1.079523,-0.1247284,-0.7394601,0.6786546,11.14565,33.61576,-2.953634,992.1886
1.173311710,-3.72058,-2.091436,-1.692282,-0.1424344,-0.7335168,0.6778989,11.14565,33.61576,-2.953634,992.1886
1.180914402,-3.471635,-3.037992,-2.856526,-0.1400646,-0.7273278,0.6896451,11.14565,33.61576,-2.953634,992.1868
1.188516140,-4.965303,-3.57043,-3.162906,-0.1302625,-0.7268137,0.7026694,11.14565,33.61576,-2.953634,992.1868
1.196118831,-6.210027,-3.807069,-3.224182,-0.1321664,-0.7319876,0.6880499,11.14565,33.61576,-2.953634,992.1868
1.203721523,-6.3345,-4.043708,-4.265873,-0.1521791,-0.7334508,0.6948377,10.44479,33.24775,-2.965435,992.1868
1.211324215,-7.205807,-4.576146,-5.797773,-0.1723684,-0.7255847,0.6912415,10.44479,33.24775,-2.965435,992.1868
1.218926906,-9.259601,-7.534133,-7.881156,-0.1758819,-0.720754,0.6865478,10.44479,33.24775,-2.965435,992.1868
1.226528644,-10.13091,-9.368086,-10.08709,-0.1828809,-0.7103565,0.6950517,10.44479,33.24775,-2.965435,992.1851
1.234133243,-12.12247,-11.79364,-12.78323,-0.1975968,-0.7046535,0.717466,10.44479,33.24775,-2.965435,992.1851
1.241733551,-15.35875,-14.10087,-17.68531,-0.1830228,-0.694583,0.7476296,10.44479,33.24775,-2.965435,992.1851
1.249336243,-20.39988,-14.98826,-19.70742,-0.1686127,-0.6770182,0.7596334,10.76336,33.61137,-2.510128,992.1851
1.259472847,-29.48636,-18.89281,-21.97463,-0.1043063,-0.6894602,0.774564,10.76336,33.61137,-2.510128,992.1851
1.267075538,-36.83024,-17.41381,-21.5457,-0.08647657,-0.6995926,0.7998453,10.76336,33.61137,-2.510128,992.1834
1.274677276,-41.31124,-18.24205,-21.5457,-0.1204821,-0.7191155,0.7588706,10.76336,33.61137,-2.510128,992.1834
1.282279968,-44.42305,-19.1886,-23.44526,-0.1448256,-0.6941379,0.7731215,10.76336,33.61137,-2.510128,992.1834
1.289882660,-50.77114,-21.43667,-26.1414,-0.1581574,-0.6879675,0.761731,10.76336,33.61137,-2.510128,992.1834
